
88,2000/2,1000/88,2019-05-10 00:00:00,nzh,,0
89,2000/2,1000/89,2019-05-10 00:00:00,nzh,,0
90,2000/2,1000/90,2019-05-10 00:00:00,nzh,,0
91,2000/2,1000/91,2019-05-10 00:00:00,nzh,,0
92,2000/2,1000/92,2019-05-10 00:00:00,nzh,,0
93,2000/2,1000/93,2019-05-10 00:00:00,nzh,,0
94,2000/2,1000/94,2019-05-10 00:00:00,nzh,,0
95,2000/2,1000/95,2019-05-10 00:00:00,nzh,,0
96,2000/2,1000/96,2019-05-10 00:00:00,nzh,,0
97,2000/2,1000/97,2019-05-10 00:00:00,nzh,,0
98,2000/2,1000/98,2019-05-10 00:00:00,nzh,,0
99,2000/2,1000/99,2019-05-10 00:00:00,nzh,,0
100,2000/2,1000/100,2019-05-10 00:00:00,nzh,,0
101,2000/2,1000/101,2019-05-10 00:00:00,nzh,,0
102,2000/2,1000/102,2019-05-10 00:00:00,nzh,,0
103,2000/2,1000/103,2019-05-10 00:00:00,nzh,,0
104,2000/2,1000/104,2019-05-10 00:00:00,nzh,,0
105,2000/2,1000/105,2019-05-10 00:00:00,nzh,,0
106,2000/2,1000/106,2019-05-10 00:00:00,nzh,,0
107,2000/2,1000/107,2019-05-10 00:00:00,nzh,,0
108,2000/2,1000/108,2019-05-10 00:00:00,nzh,,0
109,2000/2,1000/109,2019-05-10 00:00:00,nzh,,0
110,2000/3,1000/110,2019-05-10 00:00:00,nzh,,0
111,2000/3,1000/111,2019-05-10 00:00:00,nzh,,0
112,2000/3,1000/112,2019-05-10 00:00:00,nzh,,0
113,2000/3,1000/113,2019-05-10 00:00:00,nzh,,0
114,2000/3,1000/114,2019-05-10 00:00:00,nzh,,0
115,2000/3,1000/115,2019-05-10 00:00:00,nzh,,0
116,2000/3,1000/116,2019-05-10 00:00:00,nzh,,0
117,2000/3,1000/117,2019-05-10 00:00:00,nzh,,0
118,2000/3,1000/118,2019-05-10 00:00:00,nzh,,0
119,2000/3,1000/119,2019-05-10 00:00:00,nzh,,0
120,2000/3,1000/120,2019-05-10 00:00:00,nzh,,0
121,2000/3,1000/121,2019-05-10 00:00:00,nzh,,0
122,2000/3,1000/122,2019-05-10 00:00:00,nzh,,0
123,2000/3,1000/123,2019-05-10 00:00:00,nzh,,0
124,2000/3,1000/124,2019-05-10 00:00:00,nzh,,0
125,2000/3,1000/125,2019-05-10 00:00:00,nzh,,0
126,2000/3,1000/126,2019-05-10 00:00:00,nzh,,0
127,2000/3,1000/127,2019-05-10 00:00:00,nzh,,0
128,2000/3,1000/128,2019-05-10 00:00:00,nzh,,0
129,2000/3,1000/129,2019-05-10 00:00:00,nzh,,0
130,2000/3,1000/130,2019-05-10 00:00:00,nzh,,0
131,2000/3,1000/131,2019-05-10 00:00:00,nzh,,0
132,2000/3,1000/132,2019-05-10 00:00:00,nzh,,0
133,2000/3,1000/133,2019-05-10 00:00:00,nzh,,0
134,2000/3,1000/134,2019-05-10 00:00:00,nzh,,0
135,2000/3,1000/135,2019-05-10 00:00:00,nzh,,0
136,2000/3,1000/136,2019-05-10 00:00:00,nzh,,0
137,2000/3,1000/137,2019-05-10 00:00:00,nzh,,0
138,2000/3,1000/138,2019-05-10 00:00:00,nzh,,0
139,2000/3,1000/139,2019-05-10 00:00:00,nzh,,0
140,2000/3,1000/140,2019-05-10 00:00:00,nzh,,0
141,2000/3,1000/141,2019-05-10 00:00:00,nzh,,0
142,2000/3,1000/142,2019-05-10 00:00:00,nzh,,0
143,2000/3,1000/143,2019-05-10 00:00:00,nzh,,0
144,2000/3,1000/144,2019-05-10 00:00:00,nzh,,0
145,2000/3,1000/145,2019-05-10 00:00:00,nzh,,0
146,2000/3,1000/146,2019-05-10 00:00:00,nzh,,0
147,2000/3,1000/147,2019-05-10 00:00:00,nzh,,0
148,2000/3,1000/148,2019-05-10 00:00:00,nzh,,0
149,2000/3,1000/149,2019-05-10 00:00:00,nzh,,0
