
70,1000,Country,1000/70,Georgia,2019-05-10 00:00:00,,nzh,,0
71,1000,Country,1000/71,Hong Kong,2019-05-10 00:00:00,,nzh,,0
72,1000,Country,1000/72,India,2019-05-10 00:00:00,,nzh,,0
73,1000,Country,1000/73,Indonesia,2019-05-10 00:00:00,,nzh,,0
74,1000,Country,1000/74,Iran,2019-05-10 00:00:00,,nzh,,0
75,1000,Country,1000/75,Iraq,2019-05-10 00:00:00,,nzh,,0
76,1000,Country,1000/76,Israel,2019-05-10 00:00:00,,nzh,,0
77,1000,Country,1000/77,Japan,2019-05-10 00:00:00,,nzh,,0
78,1000,Country,1000/78,Jordan,2019-05-10 00:00:00,,nzh,,0
79,1000,Country,1000/79,Kazakhstan,2019-05-10 00:00:00,,nzh,,0
80,1000,Country,1000/80,Korea North,2019-05-10 00:00:00,,nzh,,0
81,1000,Country,1000/81,Korea South,2019-05-10 00:00:00,,nzh,,0
82,1000,Country,1000/82,Kuwait,2019-05-10 00:00:00,,nzh,,0
83,1000,Country,1000/83,Kyrgyzstan,2019-05-10 00:00:00,,nzh,,0
84,1000,Country,1000/84,Laos,2019-05-10 00:00:00,,nzh,,0
85,1000,Country,1000/85,Lebanon,2019-05-10 00:00:00,,nzh,,0
86,1000,Country,1000/86,Macau,2019-05-10 00:00:00,,nzh,,0
87,1000,Country,1000/87,Malaysia,2019-05-10 00:00:00,,nzh,,0
88,1000,Country,1000/88,Maldives,2019-05-10 00:00:00,,nzh,,0
89,1000,Country,1000/89,Mongolia,2019-05-10 00:00:00,,nzh,,0
90,1000,Country,1000/90,Nepal,2019-05-10 00:00:00,,nzh,,0
91,1000,Country,1000/91,Oman,2019-05-10 00:00:00,,nzh,,0
92,1000,Country,1000/92,Pakistan,2019-05-10 00:00:00,,nzh,,0
93,1000,Country,1000/93,Philippines,2019-05-10 00:00:00,,nzh,,0
94,1000,Country,1000/94,Qatar,2019-05-10 00:00:00,,nzh,,0
95,1000,Country,1000/95,Russia,2019-05-10 00:00:00,,nzh,,0
96,1000,Country,1000/96,Saudi Arabia,2019-05-10 00:00:00,,nzh,,0
97,1000,Country,1000/97,Singapore,2019-05-10 00:00:00,,nzh,,0
